Part No,Part Name,Descriptions
203200	,"
A/C Treatment Cartridges with UV Dye Part # 203200	","[<h2>Features and Benefits</h2><p>1oz/30ml cartridge for use with the <a href=""https://web.archive.org/web/20230313124354/http://terraclean.net/product.php?id=34"" rel=""noopener"" target=""_blank"" title=""ac treat kit"">Professional A/C Treatment Kit</a></p><ul>
<li>Contains a high-performance lubricant which reduces friction, quiets noisy compressors and extends compressor life</li>
<li>Rejuvenates o-rings, gaskets and other rubber components</li>
<li>Contains concentrated universal A/C dye for easy leak detection</li>
<li>OEM approved and SAE J-2297 Certified Dye</li></ul></div><p> </p><div class=""prodRight2InfoBox""><h2>Product Description</h2><p>TerraClean A/C Treatment Cartridges with UV Dye improves A/C performance and protects the system in older vehicles.  For use by A/C specialists as part of a preventative maintenance package with existing services.</p></div><p> </p><p><a href=""https://web.archive.org/web/20230313124354/https://www.terraclean.net/safety-data-sheets/"" style=""text decoration: none; font-weight: bold; font-size: 18px;"" target=""new_window""> &gt;&gt; SDS File</a></p></div>]"
203220	,"
A/C Tune Up Part # 203220	","[<h2>Features and Benefits</h2><ul>
<li>Contains a lubricity enhancer to increase the performance of an A/C System and the life of its components</li>
<li>Uses 2 oz of R134a to replenish the system with refrigerant</li>
<li>Adds a high quality dye to help detect hard to find cooling system leaks</li>
<li>Conditions seals and O-rings to prevent minor leakage</li>
<li>Compatible with all R134a A/C Systems, including hybrid vehicles</li>
<li>Certified to meet the SAE J2297 and SAE J2670 Standards</li></ul></div><div class=""prodRight2InfoBox""><h2>Product Description</h2><p>TerraClean A/C Tune Up replenishes the A/C System with R134a without the need to completely recover and recharge the system. Simply install on the low pressure side using a charging hose (Part Number 98037169). It adds a lubricity enhancer that improves the oil in the A/C system to reduce wear on the compressor. In fact, it more than doubles the extreme pressure properties of OEM PAG oil. A/C Tune Up revitalizes seals, preventing minor leakage in the A/C system. It also contains a premium dye to help detect hard to find leaks.</p></div><p><a href=""https://web.archive.org/web/20230313124357/https://www.terraclean.net/safety-data-sheets/"" style=""text decoration: none; font-weight: bold; font-size: 18px;"" target=""new_window""> &gt;&gt; SDS File</a></p></div>]"
203100	,"
Professional A/C Treatment Kit Part # 203100	","[<h2>Features and Benefits</h2><ul>
<li>A preventative A/C treatment that improves performance and protects system components in aging vehicles</li>
<li>Kit includes injection gun, PICO-Lite ™ 1 watt Luxeon® LED, 6 TerraClean A/C treatment cartridges, R-12 and R-134a adapters and UV enhancing glasses.</li></ul></div><div class=""prodRight2InfoBox""><h2>Product Description</h2><p>Each 1 oz Treatment cartridge contains a high performance lubricant which reduces friction, quiets noisy compressors and extends compressor life.   It also rejuvenates o-rings and gaskets and contains A/C dye for easy leak detection.</p></div><p> </p></div>]"
203110	,"
TerraGuard Injection Kit Part # 203110	","[<h2>Features and Benefits</h2><ul>
<li>Certified to meet SAE J2670 standard</li>
<li>Safely seals hard to find leaks</li>
<li>Specifically formulated to seal a leak rate of 25 oz. /708 g per year</li>
<li>Fully compatible with R-134a, R-12, and R1234yf.</li>
<li>TerraGuard will not harm recovery equipment</li>
<li>Oil based formula – will not harden, crystallize or clog the A/C system</li>
<li>Contains UV Dye certified to meet SAE J-2297 standard</li>
<li>Contains 2 TerraGuard cartridges, primer cartridge to pre-fill the hose, bleed adapter, injection gun and adapter hose</li></ul></div><div class=""prodRight2InfoBox""><h2>Product Description</h2><p>TerraGuard Professional A/C Sealant safely seals leaks in both rubber and metal components. It is compatible with all refrigerants and will not harm recovery machines.TerraGuard will not react to moisture and will not harden, crystallize or clog A/C systems.</p></div></div>]"
203500	,"
TerraGuard ProShot Part # 203500	","[<h2>Features and Benefits</h2><ul>
<li>The latest A/C supplement from TerraClean combines our best technologies</li>
<li>Quickly and effectively stops leaks with TerraGuard™ technology</li>
<li>Detects leaks with premium UV dye</li>
<li>Additive package enhances A/C system performance and prolongs life</li>
<li>Tops off A/C systems with an extra 2 oz. of R-134a refrigerant</li>
<li>Will not harm A/C system or recovery equipment</li>
<li>Includes 2 x hose adapters per box of 12. No additional injection equipment required</li></ul><p> </p></div><div class=""prodRight2InfoBox""><h2>Product Description</h2><p>This is the one supplement you need to stop leaks, enhance performance, extend component life, and top up refrigerant.</p></div><p> </p><p><a href=""https://web.archive.org/web/20230313124405/https://www.terraclean.net/safety-data-sheets/"" style=""text decoration: none; font-weight: bold; font-size: 18px;"" target=""new_window""> &gt;&gt; SDS File</a></p></div>]"
203201	,"
TerraGuard Refill Cartridges Part # 203201	","[<h2>Features and Benefits</h2><p>1oz/30ml cartridge for use with the <a href=""https://web.archive.org/web/20230313124405/http://terraclean.net/product.php?id=31"" rel=""noopener noreferrer"" target=""_blank"" title=""terraguard kit"">TerraGuard Injection Kit</a></p><ul>
<li>Certified to meet SAE J2670 standard</li>
<li>Fully compatible with R-134a, R-12, and R1234yf*.</li>
<li>Stays in the A/C system and stop leaks when they occur</li>
<li>Safe for all vehicle A/C systems and recovery machines</li>
<li>Leak rate tested</li>
<li>Wear tested</li></ul><p> </p></div><div class=""prodRight2InfoBox""><h2>Product Description</h2><p>All automotive air conditioning systems leak – even new ones. In fact the California Air Resource Board estimates that automobiles leak on average 85 grams per year. Terraguard is specially formulated to seal a leak rate of 709 grams per year. It reacts to oxygen and pressure – so there is no chance of harming recovery systems and will not harden, crystallize or clog the A/C system.</p><p>*Hose adapter assembly 471547 needs to be purchased in order to be compatible with R1234yf.</p></div><p><img alt=""4715476 R1234yf Hose Adapter"" class=""size-medium alignleft"" height=""59"" src=""https://web.archive.org/web/20230313124405im_/https://res.cloudinary.com/cps/image/upload/c_scale,w_200/v1555681747/4715476_R1234yf-Hose-Adapter.jpg"" width=""200""/></p><p> </p><p> </p><p><a href=""https://web.archive.org/web/20230313124405/https://www.terraclean.net/safety-data-sheets/"" rel=""noopener noreferrer"" style=""text decoration: none; font-weight: bold; font-size: 18px;"" target=""new_window"">&gt;&gt; SDS File</a></p></div>]"
208200	,"
Battery Terminal Cleaner and Leak Detector Kit Part # 208200	","[<div class=""woocommerce-product-details__short-description""><p> </p><div class=""prodRight2InfoBox""><h2>Features and Benefits</h2><ul>
<li>Cleans battery terminals and connections</li>
<li>Helps find acid leaks</li>
<li>Neutralizes battery acid</li>
<li>Impedes corrosion on battery terminals</li></ul></div><p> </p><div class=""prodRight2InfoBox""><h2>Product Description</h2><p>This easy to use kit consists of a cleaner and acid leak detector along with a set of battery pads. Simply apply the cleaner to the battery terminals and brush off any debris and rinse with water. This product also contains a pink pH sensitive dye that will turn a clear yellow color when exposed to acids to help detect acid leaks from cracks in the battery case.</p><p>After cleaning and drying the battery terminals, the battery pads are installed on each terminal. These pads wil fit both top and side style terminal posts. The pads contain a chemical inhibitor to protect against future corrosion.</p></div><p> </p><p><a href=""https://web.archive.org/web/20230313124354/https://www.terraclean.net/safety-data-sheets/"" style=""text decoration: none; font-weight: bold; font-size: 18px;"" target=""new_window""> &gt;&gt; SDS File</a></p></div>]"
205203	,"
Brake Fluid – DOT 3 Part # 205203	","[<div class=""woocommerce-product-details__short-description""><h2>Features and Benefits</h2><div class=""prodRight2InfoBox""><ul>
<li>Suitable for use in all applications requiring DOT 3</li>
<li>Protects against metal corrosion</li>
<li>Meets or exceeds FMVSS-116 and SAE J1703</li></ul></div><div class=""prodRight2InfoBox""><h2></h2><h2>Product Description</h2><p>TerraClean Brake Fluid – DOT 3 is a superior fluid for applications that require DOT 3 Brake fluid . This formula meets or exceeds the Federal Motor Vehicle Safety Standard for brake fluid and is ideal as a replacement to OEM brake fluid.</p></div><p> </p><p><a href=""https://web.archive.org/web/20230313124354/https://www.terraclean.net/safety-data-sheets/"" style=""text decoration: none; font-weight: bold; font-size: 18px;"" target=""new_window""> &gt;&gt; SDS File</a></p><div><img alt=""Under LPP"" class=""alignleft"" data-opt-src=""https://web.archive.org/web/20230313124354/https://mljzxxsq4e9b.i.optimole.com/w:auto/h:auto/q:mauto/https://www.terraclean.net/wp-content/uploads/2018/05/icon.png"" decoding=""async"" loading=""lazy"" src=""data:image/svg+xml,%3Csvg%20viewBox%3D%220%200%2050%2049%22%20width%3D%2250%22%20height%3D%2249%22%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%3E%3C%2Fsvg%3E""/><noscript><img alt=""Under LPP"" class=""alignleft"" decoding=""async"" src=""https://web.archive.org/web/20230313124354im_/https://mljzxxsq4e9b.i.optimole.com/w:auto/h:auto/q:mauto/https://www.terraclean.net/wp-content/uploads/2018/05/icon.png""/></noscript></div></div>]"
205230	,"
Brake Fluid – DOT 3 946mL (32 fl oz) Part # 205230	","[<div class=""woocommerce-product-details__short-description""><h2>Features and Benefits</h2><div class=""prodRight2InfoBox""><ul>
<li>Suitable for use in all applications requiring DOT 3</li>
<li>Protects against metal corrosion</li>
<li>Meets or exceeds FMVSS-116 and SAE J1703</li></ul></div><div class=""prodRight2InfoBox""><h2></h2><h2>Product Description</h2><p>TerraClean Brake Fluid – DOT 3 is a superior fluid for applications that require DOT 3 Brake fluid . This formula meets or exceeds the Federal Motor Vehicle Safety Standard for brake fluid and is ideal as a replacement to OEM brake fluid.</p></div><div><img alt=""Under LPP"" class=""alignleft"" data-opt-src=""https://web.archive.org/web/20230313124406/https://mljzxxsq4e9b.i.optimole.com/w:auto/h:auto/q:mauto/https://www.terraclean.net/wp-content/uploads/2018/05/icon.png"" decoding=""async"" loading=""lazy"" src=""data:image/svg+xml,%3Csvg%20viewBox%3D%220%200%2050%2049%22%20width%3D%2250%22%20height%3D%2249%22%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%3E%3C%2Fsvg%3E""/><noscript><img alt=""Under LPP"" class=""alignleft"" decoding=""async"" src=""https://web.archive.org/web/20230313124406im_/https://mljzxxsq4e9b.i.optimole.com/w:auto/h:auto/q:mauto/https://www.terraclean.net/wp-content/uploads/2018/05/icon.png""/></noscript></div></div>]"
0-8100	,"
BrakeVac II Part # 500-8100	","[<div class=""woocommerce-product-details__short-description""><h2>BrakeVac II 500-8100</h2><p>The BrakeVac II brake bleeder machine is a simple, user friendly and efficient way to flush and bleed today’s high tech brake systems. The BrakeVac II reduces the concerns associated with both air pressure and vacuum style brake bleeding.</p><p> </p><h2>Features and Benefits</h2><p>Performs brake flush using pressure and vacuum simultaneously</p><p>Vacuum pump to easily remove fluid from brake fluid reservoir</p><p>Complete brake system flush in just 10 minutes</p></div>]"
